"Id","WnvPresent"
2724,0.002
2725,0.002
2726,0.002
2727,0.002
2728,0.002
2729,0
2730,0
2731,0
2732,0
2733,0
2734,0
2735,0
2736,0
2737,0
2738,0.006
2739,0.004
2740,0.006
2741,0.006
2742,0.006
2743,0.006
2744,0.006
2745,0
2746,0
2747,0
2748,0
2749,0
2750,0
2751,0
2752,0
2753,0
2754,0
2755,0
2756,0
2757,0
2758,0
2759,0
2760,0
2761,0
2762,0
2763,0
2764,0.002
2765,0
2766,0.002
2767,0.002
2768,0.002
2769,0.002
2770,0.002
2771,0.002
2772,0.004
2773,0
2774,0.004
2775,0.004
2776,0.004
2777,0.004
2778,0.004
2779,0.002
2780,0.002
2781,0.002
2782,0.004
2783,0.002
2784,0.002
2785,0.002
2786,0.002
2787,0.002
2788,0
2789,0
2790,0
2791,0
2792,0
2793,0
2794,0
2795,0
2796,0.002
2797,0
2798,0.002
2799,0
2800,0
2801,0
2802,0
2803,0
2804,0
2805,0.002
2806,0.002
2807,0.002
2808,0.002
2809,0.002
2810,0.002
2811,0.002
2812,0
2813,0
2814,0
2815,0
2816,0
2817,0
2818,0
2819,0
2820,0.002
2821,0.002
2822,0
2823,0
2824,0
2825,0
2826,0
2827,0
2828,0
2829,0.004
2830,0.002
2831,0.002
2832,0.002
2833,0.002
2834,0.002
2835,0.002
2836,0
2837,0
2838,0
2839,0
2840,0
2841,0
2842,0
2843,0
2844,0
2845,0
2846,0
2847,0
2848,0
2849,0
2850,0
2851,0
2852,0
2853,0
2854,0
2855,0
2856,0
2857,0
2858,0
2859,0
2860,0
2861,0
2862,0
2863,0
2864,0
2865,0
2866,0
2867,0
2868,0
2869,0
2870,0
2871,0
2872,0
2873,0
2874,0
2875,0
2876,0
2877,0
2878,0
2879,0
2880,0
2881,0
2882,0
2883,0
2884,0
2885,0.002
2886,0
2887,0.002
2888,0.002
2889,0.002
2890,0.002
2891,0.002
2892,0.004
2893,0.008
2894,0.01
2895,0.008
2896,0.008
2897,0.008
2898,0.008
2899,0.008
2900,0
2901,0
2902,0
2903,0
2904,0
2905,0
2906,0
2907,0
2908,0.002
2909,0.002
2910,0
2911,0.002
2912,0.002
2913,0.002
2914,0.002
2915,0.002
2916,0
2917,0.004
2918,0.004
2919,0.002
2920,0.002
2921,0.002
2922,0.002
2923,0.002
2924,0.002
2925,0
2926,0.002
2927,0
2928,0.002
2929,0.002
2930,0.002
2931,0.002
2932,0.002
2933,0
2934,0
2935,0
2936,0
2937,0
2938,0
2939,0
2940,0
2941,0
2942,0
2943,0
2944,0
2945,0
2946,0
2947,0
2948,0
2949,0
2950,0
2951,0
2952,0
2953,0
2954,0
2955,0
2956,0
2957,0
2958,0
2959,0
2960,0
2961,0
2962,0
2963,0
2964,0
2965,0.004
2966,0.006
2967,0.002
2968,0.006
2969,0.006
2970,0.006
2971,0.006
2972,0.006
2973,0.002
2974,0.004
2975,0
2976,0.004
2977,0.004
2978,0.004
2979,0.004
2980,0.004
2981,0
2982,0.002
2983,0.002
2984,0.002
2985,0.002
2986,0.002
2987,0.002
2988,0.002
2989,0
2990,0
2991,0
2992,0
2993,0
2994,0
2995,0
2996,0
2997,0
2998,0
2999,0
3000,0
3001,0
3002,0
3003,0
3004,0
3005,0
3006,0
3007,0
3008,0
3009,0
3010,0
3011,0
3012,0
3013,0
3014,0
3015,0
3016,0
3017,0
3018,0
3019,0
3020,0
3021,0
3022,0
3023,0.002
3024,0
3025,0
3026,0
3027,0
3028,0
3029,0.006
3030,0.01
3031,0.018
3032,0.008
3033,0.008
3034,0.008
3035,0.008
3036,0.008
3037,0
3038,0
3039,0.002
3040,0
3041,0
3042,0
3043,0
3044,0
3045,0
3046,0
3047,0
3048,0
3049,0
3050,0
3051,0
3052,0
3053,0.002
3054,0
3055,0.002
3056,0
3057,0
3058,0
3059,0
3060,0
3061,0
3062,0
3063,0
3064,0
3065,0
3066,0
3067,0
3068,0
3069,0.002
3070,0.002
3071,0.002
3072,0.002
3073,0.002
3074,0.002
3075,0.002
3076,0.002
3077,0
3078,0
3079,0.002
3080,0
3081,0
3082,0
3083,0
3084,0
3085,0
3086,0
3087,0
3088,0
3089,0
3090,0
3091,0
3092,0
3093,0
3094,0
3095,0
3096,0
3097,0
3098,0
3099,0
3100,0
3101,0
3102,0
3103,0
3104,0
3105,0
3106,0
3107,0
3108,0
3109,0
3110,0
3111,0
3112,0
3113,0
3114,0
3115,0
3116,0
3117,0
3118,0
3119,0
3120,0
3121,0
3122,0
3123,0
3124,0
3125,0.006
3126,0.006
3127,0.004
3128,0.004
3129,0.004
3130,0.004
3131,0.004
3132,0.004
3133,0
3134,0
3135,0
3136,0
3137,0
3138,0
3139,0
3140,0
3141,0
3142,0
3143,0
3144,0
3145,0
3146,0
3147,0
3148,0
3149,0
3150,0
3151,0
3152,0
3153,0
3154,0
3155,0
3156,0
3157,0
3158,0
3159,0
3160,0
3161,0
3162,0
3163,0
3164,0
3165,0
3166,0
3167,0.002
3168,0
3169,0
3170,0
3171,0
3172,0
3173,0.004
3174,0.002
3175,0.002
3176,0.002
3177,0.002
3178,0.002
3179,0.002
3180,0.002
3181,0
3182,0
3183,0
3184,0
3185,0
3186,0
3187,0
3188,0
3189,0
3190,0
3191,0
3192,0
3193,0
3194,0
3195,0
3196,0
3197,0
3198,0
3199,0
3200,0
3201,0
3202,0
3203,0
3204,0
3205,0.004
3206,0.004
3207,0.002
3208,0.002
3209,0.002
3210,0.002
3211,0.002
3212,0.002
3213,0
3214,0
3215,0
3216,0
3217,0
3218,0
3219,0
3220,0
3221,0
3222,0
3223,0
3224,0
3225,0
3226,0
3227,0
3228,0
3229,0
3230,0
3231,0
3232,0
3233,0
3234,0
3235,0
3236,0
3237,0
3238,0.002
3239,0
3240,0.002
3241,0.002
3242,0.002
3243,0.002
3244,0.002
3245,0
3246,0
3247,0
3248,0
3249,0
3250,0
3251,0
3252,0
3253,0.004
3254,0.004
3255,0.002
3256,0.002
3257,0.002
3258,0.002
3259,0.002
3260,0.002
3261,0
3262,0
3263,0
3264,0
3265,0
3266,0
3267,0
3268,0
3269,0
3270,0
3271,0
3272,0
3273,0
3274,0
3275,0
3276,0
3277,0
3278,0
3279,0
3280,0
3281,0
3282,0
3283,0
3284,0
3285,0.004
3286,0.004
3287,0.002
3288,0.002
3289,0.002
3290,0.002
3291,0.002
3292,0.002
3293,0
3294,0
3295,0
3296,0
3297,0
3298,0
3299,0
3300,0
3301,0
3302,0
3303,0
3304,0
3305,0
3306,0
3307,0
3308,0
3309,0
3310,0
3311,0
3312,0
3313,0
3314,0
3315,0
3316,0
3317,0
3318,0.002
3319,0.002
3320,0.002
3321,0.002
3322,0.002
3323,0.002
3324,0.002
3325,0.002
3326,0
3327,0.002
3328,0
3329,0
3330,0
3331,0
3332,0
3333,0.002
3334,0.002
3335,0.002
3336,0.002
3337,0.002
3338,0.002
3339,0.002
3340,0.002
3341,0
3342,0
3343,0
3344,0
3345,0
3346,0
3347,0
3348,0
3349,0.002
3350,0.002
3351,0
3352,0.002
3353,0.002
3354,0.002
3355,0.002
3356,0.002
3357,0.002
3358,0.002
3359,0.002
3360,0.002
3361,0.002
3362,0.002
3363,0
3364,0
3365,0.002
3366,0.002
3367,0.002
3368,0.002
3369,0.002
3370,0.01
3371,0.012
3372,0.004
3373,0.012
3374,0.012
3375,0.012
3376,0.012
3377,0.012
3378,0
3379,0.004
3380,0.002
3381,0.004
3382,0.004
3383,0.004
3384,0.004
3385,0.004
3386,0
3387,0
3388,0
3389,0
3390,0
3391,0
3392,0
3393,0
3394,0
3395,0
3396,0
3397,0
3398,0
3399,0
3400,0
3401,0
3402,0
3403,0
3404,0
3405,0
3406,0
3407,0
3408,0
3409,0
3410,0.006
3411,0.006
3412,0.004
3413,0.004
3414,0.004
3415,0.004
3416,0.004
3417,0.004
3418,0
3419,0
3420,0
3421,0
3422,0
3423,0
3424,0
3425,0
3426,0.004
3427,0.004
3428,0.002
3429,0.004
3430,0.004
3431,0.004
3432,0.004
3433,0.004
3434,0
3435,0
3436,0
3437,0
3438,0
3439,0
3440,0
3441,0
3442,0
3443,0
3444,0
3445,0
3446,0
3447,0
3448,0
3449,0
3450,0
3451,0
3452,0
3453,0
3454,0
3455,0
3456,0
3457,0
3458,0.004
3459,0
3460,0.002
3461,0
3462,0
3463,0
3464,0
3465,0
3466,0.002
3467,0.002
3468,0.004
3469,0.002
3470,0.002
3471,0.002
3472,0.002
3473,0.002
3474,0
3475,0
3476,0
3477,0
3478,0
3479,0
3480,0
3481,0
3482,0
3483,0
3484,0
3485,0
3486,0
3487,0
3488,0
3489,0
3490,0
3491,0
3492,0
3493,0
3494,0
3495,0
3496,0
3497,0
3498,0
3499,0
3500,0
3501,0
3502,0
3503,0
3504,0
3505,0
3506,0.004
3507,0.004
3508,0.004
3509,0.004
3510,0.004
3511,0.004
3512,0.004
3513,0.004
3514,0.006
3515,0.012
3516,0.006
3517,0.01
3518,0.01
3519,0.01
3520,0.01
3521,0.01
3522,0.004
3523,0.002
3524,0.004
3525,0.002
3526,0.002
3527,0.002
3528,0.002
3529,0.002
3530,0
3531,0.002
3532,0
3533,0.002
3534,0.002
3535,0.002
3536,0.002
3537,0.002
3538,0
3539,0
3540,0
3541,0
3542,0
3543,0
3544,0
3545,0
3546,0
3547,0
3548,0
3549,0
3550,0
3551,0
3552,0
3553,0
3554,0.002
3555,0.002
3556,0
3557,0.002
3558,0.002
3559,0.002
3560,0.002
3561,0.002
3562,0.006
3563,0
3564,0.002
3565,0
3566,0
3567,0
3568,0
3569,0
3570,0
3571,0
3572,0
3573,0
3574,0
3575,0
3576,0
3577,0
3578,0
3579,0
3580,0
3581,0
3582,0
3583,0
3584,0
3585,0
3586,0
3587,0
3588,0.002
3589,0
3590,0
3591,0
3592,0
3593,0
3594,0
3595,0
3596,0
3597,0
3598,0
3599,0
3600,0
3601,0
3602,0
3603,0.002
3604,0
3605,0.002
3606,0.002
3607,0.002
3608,0.002
3609,0.002
3610,0
3611,0
3612,0.002
3613,0
3614,0
3615,0
3616,0
3617,0
3618,0.002
3619,0.002
3620,0.002
3621,0.002
3622,0.002
3623,0.002
3624,0.002
3625,0.002
3626,0
3627,0
3628,0
3629,0
3630,0
3631,0
3632,0
3633,0
3634,0
3635,0
3636,0
3637,0
3638,0
3639,0
3640,0
3641,0
3642,0.002
3643,0.002
3644,0
3645,0.002
3646,0.002
3647,0.002
3648,0.002
3649,0.002
3650,0.004
3651,0.006
3652,0.004
3653,0.006
3654,0.006
3655,0.006
3656,0.006
3657,0.006
3658,0
3659,0
3660,0
3661,0
3662,0
3663,0
3664,0
3665,0
3666,0
3667,0
3668,0
3669,0
3670,0
3671,0
3672,0
3673,0
3674,0
3675,0
3676,0
3677,0
3678,0
3679,0
3680,0
3681,0
3682,0
3683,0
3684,0
3685,0
3686,0
3687,0
3688,0
3689,0
3690,0
3691,0
3692,0
3693,0
3694,0
3695,0
3696,0
3697,0
3698,0
3699,0
3700,0
3701,0
3702,0
3703,0
3704,0
3705,0
3706,0
3707,0.002
3708,0
3709,0.002
3710,0.002
3711,0.002
3712,0.002
3713,0.002
3714,0.002
3715,0.002
3716,0.002
3717,0.002
3718,0.002
3719,0.002
3720,0.002
3721,0.002
3722,0
3723,0
3724,0
3725,0
3726,0
3727,0
3728,0
3729,0
3730,0
3731,0
3732,0
3733,0
3734,0
3735,0
3736,0
3737,0
3738,0
3739,0
3740,0
3741,0
3742,0
3743,0
3744,0
3745,0
3746,0.002
3747,0.002
3748,0
3749,0.002
3750,0.002
3751,0.002
3752,0.002
3753,0.002
3754,0.006
3755,0.004
3756,0
3757,0.004
3758,0.004
3759,0.004
3760,0.004
3761,0.004
3762,0.002
3763,0
3764,0
3765,0
3766,0
3767,0
3768,0
3769,0
3770,0
3771,0
3772,0
3773,0
3774,0
3775,0
3776,0
3777,0
3778,0.004
3779,0.006
3780,0.004
3781,0.006
3782,0.006
3783,0.006
3784,0.006
3785,0.006
3786,0.002
3787,0.004
3788,0.004
3789,0.004
3790,0.004
3791,0.004
3792,0.004
3793,0.004
3794,0.008
3795,0.006
3796,0.004
3797,0.006
3798,0.006
3799,0.006
3800,0.006
3801,0.006
3802,0
3803,0.002
3804,0
3805,0.002
3806,0.002
3807,0.002
3808,0.002
3809,0.002
3810,0.004
3811,0.004
3812,0
3813,0.004
3814,0.004
3815,0.004
3816,0.004
3817,0.004
3818,0.002
3819,0.004
3820,0
3821,0.004
3822,0.004
3823,0.004
3824,0.004
3825,0.004
3826,0.002
3827,0
3828,0.004
3829,0
3830,0
3831,0
3832,0
3833,0
3834,0
3835,0
3836,0
3837,0
3838,0
3839,0
3840,0
3841,0
3842,0
3843,0
3844,0
3845,0
3846,0
3847,0
3848,0
3849,0
3850,0
3851,0
3852,0
3853,0
3854,0
3855,0
3856,0
3857,0
3858,0
3859,0
3860,0
3861,0
3862,0
3863,0
3864,0
3865,0
3866,0
3867,0.002
3868,0.002
3869,0.002
3870,0.002
3871,0.002
3872,0.002
3873,0.002
3874,0
3875,0
3876,0
3877,0
3878,0
3879,0
3880,0
3881,0
3882,0
3883,0.002
3884,0
3885,0
3886,0
3887,0
3888,0
3889,0
3890,0
3891,0
3892,0
3893,0
3894,0
3895,0
3896,0
3897,0
3898,0
3899,0.004
3900,0
3901,0.004
3902,0.004
3903,0.004
3904,0.004
3905,0.004
3906,0
3907,0
3908,0
3909,0
3910,0
3911,0
3912,0
3913,0
3914,0.002
3915,0.004
3916,0
3917,0.004
3918,0.004
3919,0.004
3920,0.004
3921,0.004
3922,0.008
3923,0.006
3924,0.002
3925,0.006
3926,0.006
3927,0.006
3928,0.006
3929,0.006
3930,0
3931,0.002
3932,0
3933,0.002
3934,0.002
3935,0.002
3936,0.002
3937,0.002
3938,0
3939,0.002
3940,0
3941,0.002
3942,0.002
3943,0.002
3944,0.002
3945,0.002
3946,0.004
3947,0
3948,0
3949,0
3950,0
3951,0
3952,0
3953,0
3954,0
3955,0.004
3956,0.002
3957,0.004
3958,0.004
3959,0.004
3960,0.004
3961,0.004
3962,0
3963,0
3964,0
3965,0
3966,0
3967,0
3968,0
3969,0
3970,0
3971,0
3972,0
3973,0
3974,0
3975,0
3976,0
3977,0
3978,0.002
3979,0.006
3980,0
3981,0.006
3982,0.006
3983,0.006
3984,0.006
3985,0.006
3986,0
3987,0.002
3988,0
3989,0.002
3990,0.002
3991,0.002
3992,0.002
3993,0.002
3994,0.004
3995,0.004
3996,0.002
3997,0.004
3998,0.004
3999,0.004
4000,0.004
4001,0.004
4002,0.002
4003,0.002
4004,0
4005,0.002
4006,0.002
4007,0.002
4008,0.002
4009,0.002
4010,0.006
4011,0.002
4012,0
4013,0.002
4014,0.002
4015,0.002
4016,0.002
4017,0.002
4018,0.004
4019,0.004
4020,0
4021,0.004
4022,0.004
4023,0.004
4024,0.004
4025,0.004
4026,0
4027,0
4028,0
4029,0
4030,0
4031,0
4032,0
4033,0
4034,0
4035,0.002
4036,0
4037,0.002
4038,0.002
4039,0.002
4040,0.002
4041,0.002
4042,0
4043,0.002
4044,0
4045,0.002
4046,0.002
4047,0.002
4048,0.002
4049,0.002
4050,0
4051,0
4052,0
4053,0
4054,0
4055,0
4056,0
4057,0
4058,0
4059,0
4060,0
4061,0
4062,0
4063,0
4064,0
4065,0
4066,0
4067,0
4068,0
4069,0
4070,0
4071,0
4072,0
4073,0
4074,0.002
4075,0.002
4076,0.002
4077,0.002
4078,0.002
4079,0.002
4080,0.002
4081,0.002
4082,0
4083,0
4084,0
4085,0
4086,0
4087,0
4088,0
4089,0
4090,0
4091,0
4092,0
4093,0
4094,0
4095,0
4096,0
4097,0
4098,0.002
4099,0.006
4100,0
4101,0.006
4102,0.006
4103,0.006
4104,0.006
4105,0.006
4106,0.002
4107,0.008
4108,0.006
4109,0.008
4110,0.008
4111,0.008
4112,0.008
4113,0.008
4114,0.002
4115,0.002
4116,0
4117,0.002
4118,0.002
4119,0.002
4120,0.002
4121,0.002
4122,0.006
4123,0.004
4124,0
4125,0.004
4126,0.004
4127,0.004
4128,0.004
4129,0.004
4130,0
4131,0.002
4132,0
4133,0.002
4134,0.002
4135,0.002
4136,0.002
4137,0.002
4138,0
4139,0.002
4140,0
4141,0.002
4142,0.002
4143,0.002
4144,0.002
4145,0.002
4146,0
4147,0
4148,0
4149,0
4150,0
4151,0
4152,0
4153,0
4154,0
4155,0
4156,0
4157,0
4158,0
4159,0
4160,0
4161,0
4162,0
4163,0
4164,0
4165,0
4166,0
4167,0
4168,0
4169,0
4170,0
4171,0
4172,0
4173,0
4174,0
4175,0
4176,0
4177,0
4178,0.004
4179,0.006
4180,0.002
4181,0.006
4182,0.006
4183,0.006
4184,0.006
4185,0.006
4186,0.002
4187,0.004
4188,0
4189,0.004
4190,0.004
4191,0.004
4192,0.004
4193,0.004
4194,0.004
4195,0.004
4196,0
4197,0.004
4198,0.004
4199,0.004
4200,0.004
4201,0.004
4202,0
4203,0
4204,0
4205,0
4206,0
4207,0
4208,0
4209,0
4210,0
4211,0
4212,0
4213,0
4214,0
4215,0
4216,0
4217,0
4218,0
4219,0
4220,0
4221,0
4222,0
4223,0
4224,0
4225,0
4226,0
4227,0
4228,0
4229,0
4230,0
4231,0
4232,0
4233,0
4234,0
4235,0
4236,0.002
4237,0
4238,0
4239,0
4240,0
4241,0
4242,0.002
4243,0.004
4244,0.01
4245,0.004
4246,0.004
4247,0.004
4248,0.004
4249,0.004
4250,0.006
4251,0.002
4252,0.004
4253,0.002
4254,0.002
4255,0.002
4256,0.002
4257,0.002
4258,0
4259,0
4260,0
4261,0
4262,0
4263,0
4264,0
4265,0
4266,0.006
4267,0
4268,0.002
4269,0
4270,0
4271,0
4272,0
4273,0
4274,0
4275,0
4276,0
4277,0
4278,0
4279,0
4280,0
4281,0
4282,0.002
4283,0.004
4284,0.002
4285,0.004
4286,0.004
4287,0.004
4288,0.004
4289,0.004
4290,0.002
4291,0
4292,0.002
4293,0
4294,0
4295,0
4296,0
4297,0
4298,0
4299,0
4300,0
4301,0
4302,0
4303,0
4304,0
4305,0
4306,0
4307,0
4308,0
4309,0
4310,0
4311,0
4312,0
4313,0
4314,0
4315,0
4316,0
4317,0
4318,0
4319,0
4320,0
4321,0
4322,0
4323,0
4324,0
4325,0
4326,0
4327,0
4328,0
4329,0
4330,0
4331,0
4332,0
4333,0
4334,0
4335,0
4336,0
4337,0
4338,0.004
4339,0.004
4340,0.004
4341,0.004
4342,0.004
4343,0.004
4344,0.004
4345,0.004
4346,0
4347,0
4348,0
4349,0
4350,0
4351,0
4352,0
4353,0
4354,0
4355,0
4356,0
4357,0
4358,0
4359,0
4360,0
4361,0
4362,0.002
4363,0.002
4364,0.002
4365,0.002
4366,0.002
4367,0.002
4368,0.002
4369,0.002
4370,0
4371,0
4372,0
4373,0
4374,0
4375,0
4376,0
4377,0
4378,0.002
4379,0
4380,0.002
4381,0
4382,0
4383,0
4384,0
4385,0
4386,0.006
4387,0.002
4388,0.002
4389,0.002
4390,0.002
4391,0.002
4392,0.002
4393,0.002
4394,0
4395,0
4396,0
4397,0
4398,0
4399,0
4400,0
4401,0
4402,0.002
4403,0.002
4404,0.002
4405,0.002
4406,0.002
4407,0.002
4408,0.002
4409,0.002
4410,0
4411,0
4412,0
4413,0
4414,0
4415,0
4416,0
4417,0
4418,0.002
4419,0.002
4420,0.002
4421,0.002
4422,0.002
4423,0.002
4424,0.002
4425,0.002
4426,0
4427,0
4428,0
4429,0
4430,0
4431,0
4432,0
4433,0
4434,0
4435,0
4436,0
4437,0
4438,0
4439,0
4440,0
4441,0
4442,0
4443,0
4444,0
4445,0
4446,0
4447,0
4448,0
4449,0
4450,0
4451,0.002
4452,0
4453,0.002
4454,0.002
4455,0.002
4456,0.002
4457,0.002
4458,0
4459,0
4460,0
4461,0
4462,0
4463,0
4464,0
4465,0
4466,0.002
4467,0.002
4468,0.002
4469,0.002
4470,0.002
4471,0.002
4472,0.002
4473,0.002
4474,0
4475,0
4476,0
4477,0
4478,0
4479,0
4480,0
4481,0
4482,0
4483,0
4484,0
4485,0
4486,0
4487,0
4488,0
4489,0
4490,0.002
4491,0.002
4492,0.002
4493,0.002
4494,0.002
4495,0.002
4496,0.002
4497,0.002
4498,0.002
4499,0.002
4500,0.002
4501,0.002
4502,0.002
4503,0.002
4504,0.002
4505,0.002
4506,0
4507,0
4508,0
4509,0
4510,0
4511,0
4512,0
4513,0
4514,0
4515,0
4516,0
4517,0
4518,0
4519,0
4520,0
4521,0
4522,0
4523,0
4524,0
4525,0
4526,0
4527,0
4528,0
4529,0
4530,0.002
4531,0.004
4532,0
4533,0.004
4534,0.004
4535,0.004
4536,0.004
4537,0.004
4538,0.004
4539,0
4540,0.002
4541,0
4542,0
4543,0
4544,0
4545,0
4546,0
4547,0
4548,0
4549,0
4550,0
4551,0
4552,0
4553,0
4554,0.002
4555,0.002
4556,0.002
4557,0.002
4558,0.002
4559,0.002
4560,0.002
4561,0.002
4562,0.006
4563,0.008
4564,0.004
4565,0.008
4566,0.008
4567,0.008
4568,0.008
4569,0.008
4570,0.006
4571,0.006
4572,0.008
4573,0.008
4574,0.004
4575,0.004
4576,0.008
4577,0.008
4578,0.008
4579,0.008
4580,0.008
4581,0.004
4582,0.006
4583,0.004
4584,0.006
4585,0.006
4586,0.006
4587,0.006
4588,0.006
4589,0
4590,0.002
4591,0
4592,0.002
4593,0.002
4594,0.002
4595,0.002
4596,0.002
4597,0
4598,0
4599,0
4600,0
4601,0
4602,0
4603,0
4604,0
4605,0.002
4606,0.002
4607,0.002
4608,0.002
4609,0.002
4610,0.002
4611,0.002
4612,0.002
4613,0
4614,0
4615,0
4616,0
4617,0
4618,0
4619,0
4620,0
4621,0.004
4622,0.004
4623,0.004
4624,0.004
4625,0.004
4626,0.004
4627,0.004
4628,0.004
4629,0.002
4630,0.002
4631,0.002
4632,0.002
4633,0.002
4634,0.002
4635,0.002
4636,0.002
4637,0.002
4638,0.002
4639,0.002
4640,0.002
4641,0.002
4642,0.002
4643,0.002
4644,0.002
4645,0
4646,0
4647,0
4648,0
4649,0
4650,0
4651,0
4652,0
4653,0
4654,0
4655,0
4656,0
4657,0
4658,0
4659,0
4660,0
4661,0.004
4662,0
4663,0
4664,0
4665,0
4666,0
4667,0
4668,0
4669,0.004
4670,0.004
4671,0.004
4672,0.004
4673,0.004
4674,0.004
4675,0.004
4676,0.004
4677,0
4678,0
4679,0.002
4680,0
4681,0
4682,0
4683,0
4684,0
4685,0
4686,0
4687,0
4688,0
4689,0
4690,0
4691,0
4692,0
4693,0
4694,0
4695,0
4696,0
4697,0
4698,0
4699,0
4700,0
4701,0
4702,0
4703,0
4704,0
4705,0
4706,0
4707,0
4708,0
4709,0
4710,0
4711,0
4712,0
4713,0
4714,0
4715,0
4716,0
4717,0.014
4718,0.008
4719,0.01
4720,0.008
4721,0.008
4722,0.008
4723,0.008
4724,0.008
4725,0.002
4726,0.01
4727,0.002
4728,0.008
4729,0.008
4730,0.008
4731,0.008
4732,0.008
4733,0.004
4734,0
4735,0.002
4736,0
4737,0
4738,0
4739,0
4740,0
4741,0.002
4742,0.004
4743,0
4744,0.004
4745,0.004
4746,0.004
4747,0.004
4748,0.004
4749,0
4750,0
4751,0
4752,0
4753,0
4754,0
4755,0
4756,0
4757,0.002
4758,0.002
4759,0
4760,0.002
4761,0.002
4762,0.002
4763,0.002
4764,0.002
4765,0
4766,0.002
4767,0
4768,0
4769,0
4770,0
4771,0
4772,0
4773,0.008
4774,0.004
4775,0.004
4776,0.004
4777,0.004
4778,0.004
4779,0.004
4780,0.004
4781,0
4782,0
4783,0
4784,0
4785,0
4786,0
4787,0
4788,0
4789,0
4790,0
4791,0
4792,0
4793,0
4794,0
4795,0
4796,0
4797,0.002
4798,0.002
4799,0
4800,0.002
4801,0.002
4802,0.002
4803,0.002
4804,0.002
4805,0
4806,0
4807,0
4808,0
4809,0
4810,0
4811,0
4812,0
4813,0
4814,0.002
4815,0
4816,0.002
4817,0.002
4818,0.002
4819,0.002
4820,0.002
4821,0.004
4822,0
4823,0.002
4824,0
4825,0
4826,0
4827,0
4828,0
4829,0
4830,0
4831,0
4832,0
4833,0
4834,0
4835,0
4836,0
4837,0
4838,0
4839,0
4840,0
4841,0
4842,0
4843,0
4844,0
4845,0
4846,0
4847,0.002
4848,0
4849,0
4850,0
4851,0
4852,0
4853,0
4854,0
4855,0
4856,0
4857,0
4858,0
4859,0
4860,0
4861,0
4862,0.002
4863,0.002
4864,0.002
4865,0.002
4866,0.002
4867,0.002
4868,0.002
4869,0
4870,0
4871,0
4872,0
4873,0
4874,0
4875,0
4876,0
4877,0
4878,0
4879,0
4880,0
4881,0
4882,0
4883,0
4884,0
4885,0
4886,0
4887,0
4888,0
4889,0
4890,0
4891,0
4892,0
4893,0
4894,0
4895,0
4896,0
4897,0
4898,0
4899,0
4900,0
4901,0
4902,0
4903,0
4904,0
4905,0
4906,0
4907,0
4908,0
4909,0
4910,0
4911,0
4912,0
4913,0
4914,0
4915,0
4916,0
4917,0
4918,0
4919,0
4920,0
4921,0
4922,0
4923,0
4924,0
4925,0
4926,0
4927,0
4928,0
4929,0
4930,0
4931,0
4932,0
4933,0
4934,0
4935,0
4936,0
4937,0
4938,0
4939,0
4940,0
4941,0
4942,0
4943,0
4944,0
4945,0
4946,0
4947,0
4948,0
4949,0
4950,0
4951,0
4952,0
4953,0
4954,0
4955,0
4956,0
4957,0
4958,0
4959,0
4960,0
4961,0
4962,0
4963,0
4964,0
4965,0
4966,0
4967,0.002
4968,0
4969,0
4970,0
4971,0
4972,0
4973,0
4974,0
4975,0
4976,0
4977,0
4978,0
4979,0
4980,0
4981,0
4982,0
4983,0
4984,0
4985,0
4986,0
4987,0
4988,0
4989,0
4990,0.002
4991,0.002
4992,0.002
4993,0.002
4994,0.002
4995,0.002
4996,0.002
4997,0
4998,0.002
4999,0.002
5000,0.002
5001,0.002
5002,0.002
5003,0.002
5004,0.002
5005,0
5006,0.002
5007,0.002
5008,0.002
5009,0.002
5010,0.002
5011,0.002
5012,0.002
5013,0
5014,0
5015,0
5016,0
5017,0
5018,0
5019,0
5020,0
5021,0
5022,0
5023,0.002
5024,0
5025,0
5026,0
5027,0
5028,0
5029,0
5030,0
5031,0.002
5032,0
5033,0
5034,0
5035,0
5036,0
5037,0
5038,0
5039,0
5040,0
5041,0
5042,0
5043,0
5044,0
5045,0
5046,0
5047,0
5048,0
5049,0
5050,0
5051,0
5052,0
5053,0
5054,0
5055,0
5056,0
5057,0
5058,0
5059,0
5060,0
5061,0
5062,0
5063,0
5064,0
5065,0
5066,0
5067,0
5068,0
5069,0
5070,0
5071,0
5072,0
5073,0
5074,0
5075,0
5076,0
5077,0
5078,0
5079,0
5080,0
5081,0
5082,0
5083,0
5084,0
5085,0
5086,0
5087,0.002
5088,0
5089,0
5090,0
5091,0
5092,0
5093,0
5094,0.002
5095,0
5096,0
5097,0
5098,0
5099,0
5100,0
5101,0
5102,0
5103,0
5104,0
5105,0
5106,0
5107,0
5108,0
5109,0
5110,0
5111,0
5112,0
5113,0
5114,0
5115,0
5116,0
5117,0
5118,0
5119,0
5120,0
5121,0
5122,0
5123,0
5124,0
5125,0
5126,0
5127,0.002
5128,0
5129,0
5130,0
5131,0
5132,0
5133,0
5134,0
5135,0.002
5136,0
5137,0
5138,0
5139,0
5140,0
5141,0
5142,0.002
5143,0
5144,0.002
5145,0.002
5146,0.002
5147,0.002
5148,0.002
5149,0
5150,0
5151,0
5152,0
5153,0
5154,0
5155,0
5156,0
5157,0
5158,0
5159,0
5160,0
5161,0
5162,0
5163,0
5164,0
5165,0
5166,0
5167,0
5168,0
5169,0
5170,0
5171,0
5172,0
5173,0
5174,0
5175,0
